_id,age_certification,description,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5],genres[6],genres[7],genres[8],id,production_countries[0],production_countries[1],production_countries[2],production_countries[3],production_countries[4],production_countries[5],production_countries[6],release_year,runtime,title,type,imdb_score,imdbScore,ageCertification,productionCountries[0],productionCountries[1],releaseYear,__v
66f562d6595d90b3b3fedd31,TV-MA,Updated description,documentation,,,,,,,,,ts300399,US,,,,,,,1945,130,Five Came Back: The Reference Films,SHOW,,,,,,,
66f562d6595d90b3b3fedd32,R,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.",crime,drama,,,,,,,,tm84618,US,,,,,,,1976,50,Taxi Driver,MOVIE,8.3,,,,,,
66f562d6595d90b3b3fedd33,PG,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",comedy,fantasy,,,,,,,,tm127384,GB,,,,,,,1975,91,Monty Python and the Holy Grail,MOVIE,8.2,,,,,,
66f562d6595d90b3b3fedd34,R,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",comedy,,,,,,,,,tm70993,GB,,,,,,,1979,94,Life of Brian,MOVIE,8,,,,,,
66f562d6595d90b3b3fedd35,R,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",horror,,,,,,,,,tm190788,US,,,,,,,1973,133,The Exorcist,MOVIE,8.1,,,,,,
66f562d6595d90b3b3fedd36,TV-14,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",comedy,european,,,,,,,,ts22164,GB,,,,,,,1969,30,Monty Python's Flying Circus,SHOW,8.8,,,,,,
66f562d6595d90b3b3fedd37,R,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",thriller,crime,action,,,,,,,tm14873,US,,,,,,,1971,102,Dirty Harry,MOVIE,7.7,,,,,,
66f562d6595d90b3b3fedd38,G,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,drama,music,romance,family,,,,,,tm185072,US,,,,,,,1964,170,My Fair Lady,MOVIE,7.8,,,,,,
66f562d6595d90b3b3fedd39,R,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",romance,drama,,,,,,,,tm98978,US,,,,,,,1980,104,The Blue Lagoon,MOVIE,5.8,,,,,,
66f562d6595d90b3b3fedd3a,R,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",drama,crime,action,,,,,,,tm119281,US,,,,,,,1967,110,Bonnie and Clyde,MOVIE,7.7,,,,,,
